/unique_contracts/0x79a8ddb299bb4af1f9ee206af9689dd687d8ede4.sol
jar:file:/usr/local/lib/node_modules/@smartdec/smartcheck/jdeploy-bundle/smartcheck-2.0-jar-with-dependencies.jar!/solidity-rules.xmlruleId: SOLIDITY_EXACT_TIME
content: functionregister(addressofAsset,stringname,stringsymbol,uintdecimal,stringurl,stringipfsHash,bytes32chainId,addressbreakIn,addressbreakOut)pre_cond(isOwner())pre_cond(!information[ofAsset].exists){Assetasset=information[ofAsset];asset.name=name;asset.symbol=symbol;asset.decimal=decimal;asset.url=url;asset.ipfsHash=ipfsHash;asset.breakIn=breakIn;asset.breakOut=breakOut;asset.exists=true;assert(information[ofAsset].exists);}

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 183
column: 4
content: functionupdateDescriptiveInformation(addressofAsset,stringname,stringsymbol,stringurl,stringipfsHash)pre_cond(isOwner())pre_cond(information[ofAsset].exists){Assetasset=information[ofAsset];asset.name=name;asset.symbol=symbol;asset.url=url;asset.ipfsHash=ipfsHash;}

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 203
column: 4
content: functionremove(addressofAsset)pre_cond(isOwner())pre_cond(information[ofAsset].exists){deleteinformation[ofAsset];assert(!information[ofAsset].exists);}

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 216
column: 4
content: functiongetName(addressofAsset)viewreturns(string){returninformation[ofAsset].name;}

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 217
column: 4
content: functiongetSymbol(addressofAsset)viewreturns(string){returninformation[ofAsset].symbol;}

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 218
column: 4
content: functiongetDecimals(addressofAsset)viewreturns(uint){returninformation[ofAsset].decimal;}

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 230
column: 4
content: functionupdate(address[]ofAssets,uint[]newPrices);

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 235
column: 4
content: functiongetName(addressofAsset)viewreturns(string);

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 236
column: 4
content: functiongetSymbol(addressofAsset)viewreturns(string);

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 237
column: 4
content: functiongetDecimals(addressofAsset)viewreturns(uint);

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 239
column: 4
content: functiongetQuoteAsset()viewreturns(address);

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 240
column: 4
content: functiongetInterval()viewreturns(uint);

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 241
column: 4
content: functiongetValidity()viewreturns(uint);

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 242
column: 4
content: functiongetLastUpdateId()viewreturns(uint);

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 244
column: 4
content: functionhasRecentPrice(addressofAsset)viewreturns(boolisRecent);

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 245
column: 4
content: functionhasRecentPrices(address[]ofAssets)viewreturns(boolareRecent);

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 246
column: 4
content: functiongetPrice(addressofAsset)viewreturns(boolisRecent,uintprice,uintdecimal);

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 247
column: 4
content: functiongetPrices(address[]ofAssets)viewreturns(boolareRecent,uint[]prices,uint[]decimals);

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 248
column: 4
content: functiongetInvertedPrice(addressofAsset)viewreturns(boolisRecent,uintinvertedPrice,uintdecimal);

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 249
column: 4
content: functiongetReferencePrice(addressofBase,addressofQuote)viewreturns(boolisRecent,uintreferencePrice,uintdecimal);

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 250
column: 4
content: functiongetOrderPrice(addresssellAsset,addressbuyAsset,uintsellQuantity,uintbuyQuantity)viewreturns(uintorderPrice);

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 256
column: 4
content: functionexistsPriceOnAssetPair(addresssellAsset,addressbuyAsset)viewreturns(boolisExistent);

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 286
column: 4
content: functionPriceFeed(addressofQuoteAsset,stringquoteAssetName,stringquoteAssetSymbol,uintquoteAssetDecimals,stringquoteAssetUrl,stringquoteAssetIpfsHash,bytes32quoteAssetChainId,addressquoteAssetBreakIn,addressquoteAssetBreakOut,uintinterval,uintvalidity){QUOTE_ASSET=ofQuoteAsset;register(QUOTE_ASSET,quoteAssetName,quoteAssetSymbol,quoteAssetDecimals,quoteAssetUrl,quoteAssetIpfsHash,quoteAssetChainId,quoteAssetBreakIn,quoteAssetBreakOut);INTERVAL=interval;VALIDITY=validity;}

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 327
column: 4
content: functionupdate(address[]ofAssets,uint[]newPrices)pre_cond(isOwner())pre_cond(ofAssets.length==newPrices.length){updateId+=1;for(uinti=0;i<ofAssets.length;++i){require(information[ofAssets[i]].timestamp!=now);require(information[ofAssets[i]].exists);information[ofAssets[i]].timestamp=now;information[ofAssets[i]].price=newPrices[i];}PriceUpdated(now);}

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 344
column: 4
content: functiongetQuoteAsset()viewreturns(address){returnQUOTE_ASSET;}

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 345
column: 4
content: functiongetInterval()viewreturns(uint){returnINTERVAL;}

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 346
column: 4
content: functiongetValidity()viewreturns(uint){returnVALIDITY;}

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 347
column: 4
content: functiongetLastUpdateId()viewreturns(uint){returnupdateId;}

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 352
column: 4
content: functionhasRecentPrice(addressofAsset)viewpre_cond(information[ofAsset].exists)returns(boolisRecent){returnsub(now,information[ofAsset].timestamp)<=VALIDITY;}

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 363
column: 4
content: functionhasRecentPrices(address[]ofAssets)viewreturns(boolareRecent){for(uinti;i<ofAssets.length;i++){if(!hasRecentPrice(ofAssets[i])){returnfalse;}}returntrue;}

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 385
column: 4
content: functiongetPrice(addressofAsset)viewreturns(boolisRecent,uintprice,uintdecimal){return(hasRecentPrice(ofAsset),information[ofAsset].price,information[ofAsset].decimal);}

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 406
column: 4
content: functiongetPrices(address[]ofAssets)viewreturns(boolareRecent,uint[]prices,uint[]decimals){areRecent=true;for(uinti;i<ofAssets.length;i++){var(isRecent,price,decimal)=getPrice(ofAssets[i]);if(!isRecent){areRecent=false;}prices[i]=price;decimals[i]=decimal;}}

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 432
column: 4
content: functiongetInvertedPrice(addressofAsset)viewreturns(boolisRecent,uintinvertedPrice,uintdecimal){var(isInvertedRecent,inputPrice,assetDecimal)=getPrice(ofAsset);uintquoteDecimal=getDecimals(QUOTE_ASSET);return(isInvertedRecent,mul(10**uint(quoteDecimal),10**uint(assetDecimal))/inputPrice,quoteDecimal);}

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 461
column: 4
content: functiongetReferencePrice(addressofBase,addressofQuote)viewreturns(boolisRecent,uintreferencePrice,uintdecimal){if(getQuoteAsset()==ofQuote){(isRecent,referencePrice,decimal)=getPrice(ofBase);}elseif(getQuoteAsset()==ofBase){(isRecent,referencePrice,decimal)=getInvertedPrice(ofQuote);}else{revert();}}

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 480
column: 4
content: functiongetOrderPrice(addresssellAsset,addressbuyAsset,uintsellQuantity,uintbuyQuantity)viewreturns(uintorderPrice){returnmul(buyQuantity,10**uint(getDecimals(sellAsset)))/sellQuantity;}

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 497
column: 4
content: functionexistsPriceOnAssetPair(addresssellAsset,addressbuyAsset)viewreturns(boolisExistent){returnhasRecentPrice(sellAsset)&&hasRecentPrice(buyAsset)&&(buyAsset==QUOTE_ASSET||sellAsset==QUOTE_ASSET)&&(buyAsset!=QUOTE_ASSET||sellAsset!=QUOTE_ASSET);}

ruleId: SOLIDITY_VISIBILITY
patternId: b51ce0
severity: 1
line: 27
column: 4
content: uintconstantWAD=10**18;

ruleId: SOLIDITY_VISIBILITY
patternId: b51ce0
severity: 1
line: 28
column: 4
content: uintconstantRAY=10**27;

ruleId: SOLIDITY_VISIBILITY
patternId: b51ce0
severity: 1
line: 268
column: 4
content: uintupdateId;

SOLIDITY_VISIBILITY :41
SOLIDITY_PRAGMAS_VERSION :1
SOLIDITY_REVERT_REQUIRE :1
SOLIDITY_EXTRA_GAS_IN_LOOPS :3
SOLIDITY_UPGRADE_TO_050 :2
SOLIDITY_GAS_LIMIT_IN_LOOPS :3
SOLIDITY_EXACT_TIME :1
